NAME,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Rec,Catch %,TD
"Odell Beckham Jr.","BAL",1,"14%","12%","","","11%","13%","25%","15%","21%","9%","27%","16%","","23%","12%","9%","5%","",64,4.6,13,35,54.7,3
"Parris Campbell","NYG",2,"13%","16%","18%","15%","6%","","","","7%","4%","","4%","","","","","","",27,2.2,5.2,20,74.1,
"Rashod Bateman","BAL",2,"14%","9%","10%","","8%","10%","11%","7%","15%","17%","8%","16%","","9%","25%","11%","27%","",56,3.5,11.3,32,57.1,1
"Robbie Chosen","MIA",3,"","","4%","3%","","","","","","","5%","","","","","3%","3%","",6,0.7,1.1,4,66.7,1
"Rakim Jarrett","TB",2,"","3%","","3%","","","5%","7%","","","4%","","","","","","","",9,0.9,1.6,4,44.4,
"Rashee Rice","KC",1,"13%","5%","18%","17%","12%","10%","14%","13%","7%","","12%","29%","27%","23%","24%","27%","21%","",102,6.4,16.1,79,77.5,7
"Robert Woods","HOU",1,"23%","19%","20%","19%","26%","11%","","","","8%","21%","8%","","11%","14%","12%","12%","",75,5.4,12.7,40,53.3,1
"Stanley Morgan","CIN","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Treylon Burks","TEN",1,"9%","17%","24%","","","","","7%","8%","","","","","8%","12%","11%","12%","",30,2.7,6.1,16,53.3,
"Tee Higgins","CIN",1,"25%","29%","16%","13%","","11%","","19%","20%","","","","8%","16%","19%","19%","6%","",76,6.3,12.4,42,55.3,5
"Trent Taylor","CHI",1,"","","","","","4%","","","","","","3%","","","","","","",2,0.1,0.4,0,0,
"Tyquan Thornton","NE",1,"","","","","","6%","3%","","9%","","","14%","4%","18%","3%","3%","12%","",23,2.6,4.1,13,56.5,
"Velus Jones Jr.","CHI",1,"","","","","","4%","3%","5%","3%","","","","","3%","","4%","","",7,0.5,1.4,4,57.1,
"Zay Flowers","BAL",1,"45%","15%","32%","21%","29%","27%","21%","26%","3%","26%","15%","25%","","23%","8%","37%","14%","",108,6.8,21.9,77,71.3,5
"Zach Pascal","ARI",2,"3%","3%","","10%","3%","2%","","3%","5%","3%","","","","","10%","","","",15,1.1,2.7,4,26.7,
"Andre Baccellia","ARI",6,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Andy Isabella","BUF",7,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Amari Rodgers","IND","","","","","","","4%","","","","","","","","","","","","",2,0.7,0.3,0,0,
"Chris Blair","ATL","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Chase Cota","HOU","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Colton Dowell","TEN",6,"","","","4%","","","","","","","","","","","","4%","","",2,0.2,0.4,1,50,
"Cody Thompson","SEA","","","","","4%","","","","","","","","","","","","","","",1,0.1,0.2,1,100,
"Devon Allen","PHI","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Damiere Byrd","ATL","","","","","","","","","","5%","","","","","","","","","",2,2,0.4,0,0,
"Dylan Drummond","DET","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Devin Duvernay","BAL",2,"","9%","3%","11%","3%","","","","6%","","","","","","","","","",9,0.7,1.8,4,44.4,
"Dee Eskridge","SEA",4,"","","","","","","","","","","2%","","","","","","","",1,0.2,0.2,0,0,
"Dez Fitzpatrick","PIT",8,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"David Sills","DEN",8,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Erik Ezukanma","MIA",7,"","3%","","","","","","","","","","","","","","","","",1,0.5,0.2,0,0,
"Ethan Fernea","IND","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Easop Winston Jr.","SEA",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Frank Darby","ATL","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Isaiah McKenzie","IND",4,"","3%","2%","12%","","4%","","","12%","14%","","","","","","","","",14,1.1,2.4,11,78.6,
"Jamal Agnew","JAX",4,"","2%","12%","","","","20%","","","","","","","","5%","11%","8%","",21,1.9,3.4,14,66.7,1
"Jaelon Darden","CLE",7,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Jacob Harris","JAX",6,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Jonathan Mingo","CAR",1,"13%","24%","10%","","17%","8%","","16%","10%","18%","21%","19%","32%","25%","21%","3%","9%","",85,5.7,14.5,43,50.6,
"Jalen Nailor","MIN",4,"","","","","","","","","","3%","","","","14%","","","","",6,1,1,3,50,
"JuJu Smith-Schuster","NE",1,"13%","14%","10%","17%","13%","","","3%","16%","4%","","11%","12%","21%","","","","",47,4.3,8.4,29,61.7,1
"Kendrick Bourne","NE",4,"20%","21%","17%","10%","16%","33%","23%","14%","","","","","","","","","","",55,6.9,9.9,37,67.3,4
"Kearis Jackson","TEN",8,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kwamie Lassiter II","CIN","","","","","","2%","","","","","","","","","","","","","",1,1,0.2,1,100,
"Kirk Merritt","NO","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Kristian Wilkerson","OAK",6,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Laviska Shenault Jr.","CAR",5,"5%","","2%","3%","","8%","","","","","7%","3%","","","","","","",10,1.2,1.7,10,100,
"Marquise Brown","ARI",1,"17%","32%","33%","24%","31%","27%","21%","24%","40%","12%","17%","27%","13%","","","","","",101,7.2,18.2,51,50.5,4
"Marquez Callaway","NO",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Marvin Jones Jr.","DET","","17%","","","4%","7%","2%","","","","","","","","","","","","",10,1.7,1.7,5,50,
"Malik Taylor","NYJ",2,"","","","","","","","","4%","5%","","","","","","","","",4,1.3,0.7,2,50,
